code,name,hex,R,G,B
A1,黄橙系A1,#FFF5CB,255,245,203
A2,黄橙系A2,#FFFFCD,255,255,205
A3,黄橙系A3,#FEF296,254,242,150
A4,黄橙系A4,#FEF751,254,247,81
A5,黄橙系A5,#FEDD4D,254,221,77
A6,黄橙系A6,#FCC73C,252,199,60
A7,黄橙系A7,#FD8342,253,131,66
A8,黄橙系A8,#E6C62D,230,198,45
A9,黄橙系A9,#FAAA71,250,170,113
A10,黄橙系A10,#FD9443,253,148,67
A11,黄橙系A11,#FFCF7B,255,207,123
A12,黄橙系A12,#FDBC90,253,188,144
A13,黄橙系A13,#FFC366,255,195,102
A14,黄橙系A14,#FF7544,255,117,68
A15,黄橙系A15,#FFF365,255,243,101
A16,黄橙系A16,#FFF49F,255,244,159
A17,黄橙系A17,#FDE776,253,231,118
A18,黄橙系A18,#FEB67A,254,182,122
A19,黄橙系A19,#FB9283,251,146,131
A20,黄橙系A20,#FEE37F,254,227,127
A21,黄橙系A21,#FFE396,255,227,150
A22,黄橙系A22,#F4F67B,244,246,123
A23,黄橙系A23,#E6C9B7,230,201,183
A24,黄橙系A24,#F7F8A1,247,248,161
A25,黄橙系A25,#FFD77E,255,215,126
A26,黄橙系A26,#FFC830,255,200,48
B1,绿系B1,#E4F149,228,241,73
B2,绿系B2,#B7EB45,183,235,69
B3,绿系B3,#98F5A9,152,245,169
B4,绿系B4,#51FF50,81,255,80
B5,绿系B5,#6FD364,111,211,100
B6,绿系B6,#7AEB87,122,235,135
B7,绿系B7,#3CB48C,60,180,140
B8,绿系B8,#168C4F,22,140,79
B9,绿系B9,#27523A,39,82,58
B10,绿系B10,#ACE2D8,172,226,216
B11,绿系B11,#50641A,80,100,26
B12,绿系B12,#1F6A4E,31,106,78
B13,绿系B13,#C7FF86,199,255,134
B14,绿系B14,#D0EE39,208,238,57
B15,绿系B15,#205727,32,87,39
B16,绿系B16,#CDFFAA,205,255,170
B17,绿系B17,#B5C230,181,194,48
B18,绿系B18,#E4F854,228,248,84
B19,绿系B19,#01D0A1,1,208,161
B20,绿系B20,#CAFFD7,202,255,215
B21,绿系B21,#147C74,20,124,116
B22,绿系B22,#0D5349,13,83,73
B23,绿系B23,#31451C,49,69,28
B24,绿系B24,#E5FB9F,229,251,159
B25,绿系B25,#5C9083,92,144,131
B26,绿系B26,#A9A54D,169,165,77
B27,绿系B27,#CCE1AF,204,225,175
B28,绿系B28,#9EE588,158,229,136
B29,绿系B29,#C5E352,197,227,82
B30,绿系B30,#E3FDB2,227,253,178
B31,绿系B31,#B0E792,176,231,146
B32,绿系B32,#92AD60,146,173,96
C1,蓝青系C1,#E1FEE2,225,254,226
C2,蓝青系C2,#BAF6ED,186,246,237
C3,蓝青系C3,#A8E1FB,168,225,251
C4,蓝青系C4,#85D2FF,133,210,255
C5,蓝青系C5,#23BAE4,35,186,228
C6,蓝青系C6,#78BCF7,120,188,247
C7,蓝青系C7,#3C8AEB,60,138,235
C8,蓝青系C8,#1A5EC4,26,94,196
C9,蓝青系C9,#2F26CD,47,38,205
C10,蓝青系C10,#30D9ED,48,217,237
C11,蓝青系C11,#01C5D0,1,197,208
C12,蓝青系C12,#1A3758,26,55,88
C13,蓝青系C13,#B5D7FF,181,215,255
C14,蓝青系C14,#E1FFFA,225,255,250
C15,蓝青系C15,#01CAD2,1,202,210
C16,蓝青系C16,#09548E,9,84,142
C17,蓝青系C17,#7CE7F5,124,231,245
C18,蓝青系C18,#264259,38,66,89
C19,蓝青系C19,#259B8A,37,155,138
C20,蓝青系C20,#167CC0,22,124,192
C21,蓝青系C21,#DEEEFD,222,238,253
C22,蓝青系C22,#7FC0D3,127,192,211
C23,蓝青系C23,#C7E2FE,199,226,254
C24,蓝青系C24,#7CC4FF,124,196,255
C25,蓝青系C25,#A9E4E5,169,228,229
C26,蓝青系C26,#3CAED7,60,174,215
C27,蓝青系C27,#D3DFFB,211,223,251
C28,蓝青系C28,#BBD0ED,187,208,237
C29,蓝青系C29,#34488E,52,72,142
D1,紫系D1,#B9CFFF,185,207,255
D2,紫系D2,#9CA6DB,156,166,219
D3,紫系D3,#214EB1,33,78,177
D4,紫系D4,#2E4771,46,71,113
D5,紫系D5,#C66FB8,198,111,184
D6,紫系D6,#AB76E5,171,118,229
D7,紫系D7,#7F4DC7,127,77,199
D8,紫系D8,#E2CCFF,226,204,255
D9,紫系D9,#C8BEFD,200,190,253
D10,紫系D10,#351D50,53,29,80
D11,紫系D11,#BFC2FF,191,194,255
D12,紫系D12,#DAB0E5,218,176,229
D13,紫系D13,#C64DAF,198,77,175
D14,紫系D14,#9735B3,151,53,179
D15,紫系D15,#47297E,71,41,126
D16,紫系D16,#E3E3FF,227,227,255
D17,紫系D17,#C90AFD,201,10,253
D18,紫系D18,#B77BD6,183,123,214
D19,紫系D19,#E8CCFA,232,204,250
D20,紫系D20,#A63AEA,166,58,234
D21,紫系D21,#8A349B,138,52,155
D22,紫系D22,#595193,89,81,147
D23,紫系D23,#F0E8FC,240,232,252
D24,紫系D24,#7F78EA,127,120,234
D25,紫系D25,#423C00,66,60,0
D26,紫系D26,#DFC2F7,223,194,247
E1,粉系E1,#FFD1CC,255,209,204
E2,粉系E2,#FFCAE9,255,202,233
E3,粉系E3,#FB8EC5,251,142,197
E4,粉系E4,#EE79AC,238,121,172
E5,粉系E5,#F553A5,245,83,165
E6,粉系E6,#FD2F80,253,47,128
E7,粉系E7,#A2186B,162,24,107
E8,粉系E8,#FFDBE7,255,219,231
E9,粉系E9,#EA8CD9,234,140,217
E10,粉系E10,#BF3974,191,57,116
E11,粉系E11,#FDE7E3,253,231,227
E12,粉系E12,#FDAFDE,253,175,222
E13,粉系E13,#A71284,167,18,132
E14,粉系E14,#FDD3BF,253,211,191
E15,粉系E15,#F2D1D8,242,209,216
E16,粉系E16,#FFF3EC,255,243,236
E17,粉系E17,#FBE9F6,251,233,246
E18,粉系E18,#FDD1E9,253,209,233
E19,粉系E19,#F5D3F3,245,211,243
E20,粉系E20,#F3D7EA,243,215,234
E21,粉系E21,#D6B3B8,214,179,184
E22,粉系E22,#C785AF,199,133,175
E23,粉系E23,#9F89A3,159,137,163
E24,粉系E24,#E1BCE8,225,188,232
F1,红系F1,#FDA199,253,161,153
F2,红系F2,#FA6A61,250,106,97
F3,红系F3,#EC4A5A,236,74,90
F4,红系F4,#FF452C,255,69,44
F5,红系F5,#F10702,241,7,2
F6,红系F6,#B53710,181,55,16
F7,红系F7,#811430,129,20,48
F8,红系F8,#BC0830,188,8,48
F9,红系F9,#E67088,230,112,136
F10,红系F10,#8D410B,141,65,11
F11,红系F11,#6F3329,111,51,41
F12,红系F12,#F8425D,248,66,93
F13,红系F13,#D14B2F,209,75,47
F14,红系F14,#FDABA9,253,171,169
F15,红系F15,#DE0C2C,222,12,44
F16,红系F16,#FEDEDE,254,222,222
F17,红系F17,#FBAE9F,251,174,159
F18,红系F18,#E2804D,226,128,77
F19,红系F19,#C54B60,197,75,96
F20,红系F20,#CC9392,204,147,146
F21,红系F21,#F7B5C7,247,181,199
F22,红系F22,#FDC0D0,253,192,208
F23,红系F23,#D58084,213,128,132
F24,红系F24,#E698A9,230,152,169
F25,红系F25,#E24B4F,226,75,79
G1,棕系G1,#FEE5C7,254,229,199
G2,棕系G2,#FDCFB7,253,207,183
G3,棕系G3,#F9C2A5,249,194,165
G4,棕系G4,#DDB998,221,185,152
G5,棕系G5,#F2A76C,242,167,108
G6,棕系G6,#EE9868,238,152,104
G7,棕系G7,#91654D,145,101,77
G8,棕系G8,#4E312D,78,49,45
G9,棕系G9,#E9BB84,233,187,132
G10,棕系G10,#C09143,192,145,67
G11,棕系G11,#E4C896,228,200,150
G12,棕系G12,#DFB855,223,184,85
G13,棕系G13,#D09059,208,144,89
G14,棕系G14,#866956,134,105,86
G15,棕系G15,#F4F3DD,244,243,221
G16,棕系G16,#F0E0CF,240,224,207
G17,棕系G17,#5C5248,92,82,72
G18,棕系G18,#FEEDDA,254,237,218
G19,棕系G19,#AC603C,172,96,60
G20,棕系G20,#B1623F,177,98,63
G21,棕系G21,#CB916E,203,145,110
H1,棕系H1,#FBFBFB,251,251,251
H2,棕系H2,#FFFFFF,255,255,255
H3,棕系H3,#AFAFAF,175,175,175
H4,棕系H4,#979296,151,146,150
H5,棕系H5,#5F5F5F,95,95,95
H6,棕系H6,#2C2C2C,44,44,44
H7,棕系H7,#000000,0,0,0
H8,棕系H8,#F8E6D0,248,230,208
H9,棕系H9,#E6E3DB,230,227,219
H10,棕系H10,#E5E3F3,229,227,243
H11,棕系H11,#CFCCC8,207,204,200
H12,棕系H12,#FFF2E2,255,242,226
H13,棕系H13,#EBE1CC,235,225,204
H14,棕系H14,#C7CED9,199,206,217
H15,棕系H15,#9EACD7,158,172,215
H16,棕系H16,#231D1A,35,29,26
H17,棕系H17,#F6F4F5,246,244,245
H18,棕系H18,#FFFDF1,255,253,241
H19,棕系H19,#FBF2EB,251,242,235
H20,棕系H20,#9FACB1,159,172,177
H21,棕系H21,#FFFBF1,255,251,241
H22,棕系H22,#CACBD4,202,203,212
H23,棕系H23,#999D93,153,157,147
M1,黑白灰系M1,#BCC6B8,188,198,184
M2,黑白灰系M2,#8AA386,138,163,134
M3,黑白灰系M3,#697D80,105,125,128
M4,黑白灰系M4,#E3D2BC,227,210,188
M5,黑白灰系M5,#D0CCAA,208,204,170
M6,黑白灰系M6,#B0A782,176,167,130
M7,黑白灰系M7,#B4A497,180,164,151
M8,黑白灰系M8,#B38281,179,130,129
M9,黑白灰系M9,#A58767,165,135,103
M10,黑白灰系M10,#C5B2BC,197,178,188
M11,黑白灰系M11,#9F7594,159,117,148
M12,黑白灰系M12,#644749,100,71,73
M13,黑白灰系M13,#D19066,209,144,102
M14,黑白灰系M14,#C77362,199,115,98
M15,黑白灰系M15,#757D7B,117,125,123
P1,粉系P1,#FCF7F8,252,247,248
P2,粉系P2,#B0A9AC,176,169,172
P3,粉系P3,#AFDCAB,175,220,171
P4,粉系P4,#FEA49F,254,164,159
P5,粉系P5,#EE8C3E,238,140,62
P6,粉系P6,#DFD0A7,223,208,167
P7,粉系P7,#EB9270,235,146,112
P8,粉系P8,#F0D958,240,217,88
P9,粉系P9,#D9D9D9,217,217,217
P10,粉系P10,#D9C7EA,217,199,234
P11,粉系P11,#F3ECC9,243,236,201
P12,粉系P12,#E6EEF2,230,238,242
P13,粉系P13,#AACBEF,170,203,239
P14,粉系P14,#3376B0,51,118,176
P15,粉系P15,#668575,102,133,117
P16,粉系P16,#FBFB45,251,251,69
P17,粉系P17,#FEA324,254,163,36
P18,粉系P18,#FEB89F,254,184,159
P19,粉系P19,#FFF0E9,255,240,233
P20,粉系P20,#FEBECF,254,190,207
P21,粉系P21,#ECBEBF,236,190,191
P22,粉系P22,#E4A89F,228,168,159
P23,粉系P23,#A66268,166,98,104
Q1,特殊系Q1,#F2A5E8,242,165,232
Q2,特殊系Q2,#E9EC91,233,236,145
Q3,特殊系Q3,#FFFF00,255,255,0
Q4,特殊系Q4,#FFEBFA,255,235,250
Q5,特殊系Q5,#76CEDE,118,206,222
R1,红系R1,#D50D21,213,13,33
R2,红系R2,#F92F83,249,47,131
R3,红系R3,#FD8324,253,131,36
R4,红系R4,#F8EC31,248,236,49
R5,红系R5,#35C75B,53,199,91
R6,红系R6,#23B891,35,184,145
R7,红系R7,#19779D,25,119,157
R8,红系R8,#1A60C3,26,96,195
R9,红系R9,#9A56B4,154,86,180
R10,红系R10,#FFDB4C,255,219,76
R11,红系R11,#FFEBFA,255,235,250
R12,红系R12,#D8D5CE,216,213,206
R13,红系R13,#55514C,85,81,76
R14,红系R14,#9FE4DF,159,228,223
R15,红系R15,#77CEE9,119,206,233
R16,红系R16,#3ECFCA,62,207,202
R17,红系R17,#4A867A,74,134,122
R18,红系R18,#7FCD9D,127,205,157
R19,红系R19,#CDE55D,205,229,93
R20,红系R20,#E8C7B4,232,199,180
R21,红系R21,#AD6F3C,173,111,60
R22,红系R22,#6C372F,108,55,47
R23,红系R23,#FEB872,254,184,114
R24,红系R24,#F3C1C0,243,193,192
R25,红系R25,#C9675E,201,103,94
R26,红系R26,#D293BE,210,147,190
R27,红系R27,#EA8CB1,234,140,177
R28,红系R28,#9C87D6,156,135,214
T1,特殊系T1,#FFFFFF,255,255,255
Y1,黄系Y1,#DF6FB4,223,111,180
Y2,黄系Y2,#FEB481,254,180,129
Y3,黄系Y3,#D7FAA0,215,250,160
Y4,黄系Y4,#8BDBFA,139,219,250
Y5,黄系Y5,#E987EA,233,135,234
ZG1,荧光系ZG1,#DAABB3,218,171,179
ZG2,荧光系ZG2,#D6AA87,214,170,135
ZG3,荧光系ZG3,#C1BD8D,193,189,141
ZG4,荧光系ZG4,#96B69F,150,182,159
ZG5,荧光系ZG5,#849DC6,132,157,198
ZG6,荧光系ZG6,#94BFE2,148,191,226
ZG7,荧光系ZG7,#E2A9D2,226,169,210
ZG8,荧光系ZG8,#AB91C0,171,145,192
