code,brand_code,name,name_en,hex,count
A2,A2,黄橙系A2,A2,#FFFFCD,6
B23,B23,绿系B23,B23,#31451C,21
B25,B25,绿系B25,B25,#5C9083,6
B28,B28,绿系B28,B28,#9EE588,3
B5,B5,绿系B5,B5,#6FD364,8
B9,B9,绿系B9,B9,#27523A,18
C1,C1,蓝青系C1,C1,#E1FEE2,1
D10,D10,紫系D10,D10,#351D50,29
D26,D26,紫系D26,D26,#DFC2F7,5
H3,H3,棕系H3,H3,#AFAFAF,7
H4,H4,棕系H4,H4,#979296,2
H6,H6,棕系H6,H6,#2C2C2C,12
H7,H7,棕系H7,H7,#000000,1
P9,P9,粉系P9,P9,#D9D9D9,3
Q2,Q2,特殊系Q2,Q2,#E9EC91,21
R13,R13,红系R13,R13,#55514C,3
R9,R9,红系R9,R9,#9A56B4,12
Y5,Y5,黄系Y5,Y5,#E987EA,8
ZG3,ZG3,荧光系ZG3,ZG3,#C1BD8D,15
