,,,,,,,,,,,,,,,
,,,,,,,,B23,B23,B23,,,,,
,,,,,Y5,R9,B23,Q2,ZG3,ZG3,B23,,,,
,,,,B9,B9,ZG3,R9,A2,Q2,ZG3,ZG3,B23,,,
,,B23,B23,B9,B9,B9,D10,Q2,A2,Q2,Q2,ZG3,B23,,
B23,B23,Q2,ZG3,ZG3,B9,B9,B9,D10,Q2,A2,Q2,Q2,ZG3,B23,
B23,Q2,ZG3,Q2,A2,ZG3,B9,B9,B9,H6,H6,H6,Q2,Q2,B23,B23
B23,H3,Q2,ZG3,Q2,A2,ZG3,B9,H6,B25,B5,B25,H6,R13,H3,R13
D10,H6,H3,Q2,ZG3,Q2,A2,H6,B28,C1,B9,B5,B25,D10,D10,R13
D10,D10,D10,H3,Q2,ZG3,Q2,H6,B5,B9,B23,B9,B5,R9,D10,B23
D10,D10,D10,P9,H3,Q2,Q2,H6,B28,B9,B23,B9,B5,D10,D10,D10
R9,D10,R9,B23,P9,H3,H3,D10,B25,B5,B9,B5,B25,D10,D10,R9
,R9,Y5,H7,B23,P9,H4,H4,H6,B25,B5,B28,H6,R9,D10,Y5
,Y5,D26,,D10,R9,D10,D10,D10,H6,D10,D10,,R9,Y5,
,,D26,,,Y5,R9,D10,D10,D10,D26,,,,Y5,
,,D26,,,,,R9,Y5,,,,,,D26,
